7094 5896
0 0 1
0 1 1
0 2 1
0 3 1
0 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
3 10 1
3 14 1
3 16 1
3 17 1
3 18 1
4 6 1
4 19 1
4 20 1
5 10 1
5 21 1
5 22 1
6 10 1
6 14 1
6 16 1
6 17 1
6 18 1
7 14 1
7 15 1
7 23 1
7 24 1
8 25 1
9 10 1
9 14 1
9 16 1
9 17 1
9 18 1
10 14 1
10 25 1
10 26 1
10 27 1
10 28 1
10 29 1
10 30 1
10 31 1
11 22 1
11 32 1
11 33 1
11 34 1
11 35 1
12 10 1
12 14 1
12 16 1
12 17 1
12 18 1
13 14 1
13 25 1
13 26 1
13 27 1
13 28 1
13 29 1
13 30 1
13 31 1
14 11 1
14 36 1
14 37 1
14 38 1
15 39 1
15 40 1
15 41 1
15 42 1
16 14 1
16 43 1
16 44 1
17 45 1
17 46 1
17 47 1
17 48 1
18 10 1
18 14 1
18 16 1
18 17 1
18 18 1
19 11 1
19 22 1
19 30 1
19 49 2
19 50 4
19 51 4
19 52 1
19 53 1
19 54 1
19 55 1
19 56 1
19 57 1
19 58 1
19 59 1
20 3 1
20 60 1
20 61 1
20 62 1
21 10 1
21 12 1
21 46 1
21 63 1
21 64 1
21 65 1
21 66 1
22 5 1
22 10 1
22 44 1
22 67 1
22 68 1
22 69 1
22 70 1
22 71 1
23 70 1
23 72 1
23 73 1
23 74 1
24 14 1
24 48 1
24 75 1
24 76 1
25 42 1
25 77 1
25 78 1
25 79 1
26 69 1
26 75 1
26 80 1
26 81 1
26 82 1
26 83 1
27 14 1
27 42 1
27 84 1
28 85 1
29 66 1
29 68 1
29 69 1
29 85 1
29 86 1
29 87 1
29 88 1
29 89 1
30 47 1
30 90 1
31 67 1
31 89 1
31 91 1
31 92 1
31 93 1
31 94 1
32 14 1
32 67 1
32 78 1
32 90 1
32 95 1
32 96 1
33 10 1
33 46 1
33 89 1
34 6 1
